Session,Subject,GovStructure,Game,interactionDraw,interaction,Period,Partnership,Profit,Matchpay,Finished,Choice,Terminator,PartnerChoice.Poc,PTc,gplay,simplay,Age,Gender
1,12,2-player,CG,1,7,7,10,6.5,45.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,1,10,6.5,6.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,20,10,6.5,117,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,14,10,6.5,91,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,7,19,10,6.5,110.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,3,4,2,6.5,26,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,5,6,11,6.5,39,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,4,10,6.5,26,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,5,5,11,6.5,32.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,12,10,6.5,78,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,4,2,2,6.5,13,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,11,10,6.5,71.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,4,1,2,6.5,6.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,5,4,11,6.5,26,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,6,10,6.5,39,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,5,3,11,6.5,19.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,5,10,6.5,32.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,5,2,11,6.5,13,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,4,4,2,6.5,26,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,2,9,10,6.5,58.5,0,C,0,C,NA,1,1,24,Female
1,12,2-player,CG,1,3,3,2,6.5,19.5,0,C,0,C,NA,1,1,24,Female
